,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/temperature/0,/amdcpu/1/load/1,/amdcpu/1/load/2,/amdcpu/1/load/3,/amdcpu/1/load/4,/amdcpu/1/load/0,/amdcpu/1/clock/1,/amdcpu/1/clock/2,/amdcpu/1/clock/3,/amdcpu/1/clock/4,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/2/temperature/0,/hdd/2/load/0,/hdd/3/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Core #1 - #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Temperature","Used Space","Used Space"
05/29/2019 18:37:25,10.9375,1.5625,6.25,1.5625,5.078125,3200.05249,3200.05249,3200.05249,3200.05249,35,4.6875,1.5625,3.125,10.9375,5.078125,3200.05078,3200.05078,3200.05078,3200.05078,50.4046669,4.009083,3.94470978,40,0,139,405.000031,278,0,4,0,0,4096,640.277344,3455.72266,15.6317711,37,32,56.2448769,59.80607
05/29/2019 18:37:26,6.25,0,3.125,3.125,3.125,3200.04932,3200.04932,3200.04932,3200.04932,34.75,0,0,0,6.25,1.5625,3200.05127,3200.05127,3200.05127,3200.05127,50.402607,4.008919,3.94487381,40,0,139,405.000031,278,2,5,0,0,4096,640.527344,3455.47266,15.6378746,37,32,56.2448769,59.80607
05/29/2019 18:37:27,3.125,1.5625,1.5625,1.5625,1.953125,3200.0498,3200.0498,3200.0498,3200.0498,34.75,3.125,0,0,6.25,2.34375,3200.05151,3200.05151,3200.05151,3200.05151,50.39474,4.008293,3.94549942,40,0,139,405.000031,278,0,5,0,0,4096,640.527344,3455.47266,15.6378746,37,32,56.2448769,59.80607
05/29/2019 18:37:28,6.25,0,6.25,3.125,3.90625,3200.05249,3200.05249,3200.05249,3200.05249,34.625,0,1.5625,0,3.125,1.171875,3200.05078,3200.05078,3200.05078,3200.05078,50.3932533,4.008175,3.94561768,40,0,139,405.000031,278,0,4,0,0,4096,640.589844,3455.41016,15.6394005,37,32,56.2448769,59.80607
05/29/2019 18:37:29,7.8125,0,3.125,0,2.734375,3200.051,3200.051,3200.051,3200.051,34.5,1.58730149,1.5625,3.125,4.6875,2.740574,3200.05151,3200.05151,3200.05151,3200.05151,50.3847656,4.00749969,3.94629288,40,0,139,405.000031,278,1,5,0,0,4096,640.589844,3455.41016,15.6394005,37,32,56.2448769,59.80607
05/29/2019 18:37:30,3.125,0,1.5625,0,1.171875,3200.05029,3200.05029,3200.05029,3200.05029,34.5,0,0,0,6.25,1.5625,3200.0498,3200.0498,3200.0498,3200.0498,50.3835678,4.00740433,3.94638824,40,0,139,405.000031,278,1,5,0,0,4096,640.589844,3455.41016,15.6394005,37,32,56.2448769,59.80607
05/29/2019 18:37:31,4.6875,1.5625,3.125,1.5625,2.734375,3200.05078,3200.05078,3200.05078,3200.05078,34.5,1.5625,3.125,1.5625,3.125,2.34375,3200.05054,3200.05054,3200.05054,3200.05054,50.38304,4.00736237,3.94643021,40,0,139,405.000031,278,0,4,0,0,4096,640.714844,3455.28516,15.6424522,37,32,56.2448769,59.80607
05/29/2019 18:37:32,3.125,0,3.125,0,1.5625,3200.051,3200.051,3200.051,3200.051,34.5,0,0,1.5625,4.6875,1.5625,3200.05151,3200.05151,3200.05151,3200.05151,50.3815041,4.0072403,3.94655228,40,0,139,405.000031,278,2,5,0,0,4096,640.527344,3455.47266,15.6378746,37,32,56.2448769,59.80607
05/29/2019 18:37:33,9.375,1.58730149,6.25,0,4.303074,3200.05078,3200.05078,3200.05078,3200.05078,34.5,1.5625,0,0,6.25,1.953125,3200.05029,3200.05029,3200.05029,3200.05029,50.3811226,4.00721,3.94658279,40,0,139,405.000031,278,1,5,0,0,4096,640.527344,3455.47266,15.6378746,37,32,56.2448769,59.80607
